SaleID,price
0,1177.4256734949354
1,1806.4629209411096
2,8560.286523790914
3,1346.3793307351891
4,2074.4490926176754
5,1246.3198452230306
6,377.7939314527539
7,3689.189765260095
8,12371.590288138093
9,609.9218692478701
10,550.283216316363
11,2599.3001544389044
12,5930.413940614795
13,8214.166365240468
14,2121.8895720788514
15,254.0328882742083
16,1770.5460535878867
17,8303.270694251909
18,6621.434010850282
19,641.6649137172673
20,24298.312740141046
21,7662.91296760413
22,1888.0032043022557
23,1515.7795315423352
24,932.9039882437942
25,9207.439396962756
26,556.8780148283371
27,12667.426724337933
28,4394.281165662882
29,7727.57325213996
30,17368.678844837905
31,11979.891056656077
32,572.9723615430141
33,14379.669619067723
34,841.0994393797688
35,1924.6503464814136
36,14301.728509980427
37,6164.841511778096
38,1286.8698716931003
39,328.022654860094
40,592.4395843071825
41,25705.60151137469
42,373.5359781410905
43,8245.65612249457
44,18019.22129420886
45,612.5983119684438
46,15760.462582620066
47,16826.14321067633
48,2025.3615836911804
49,3132.2305993094064
50,868.9812210391644
51,4521.237799436033
52,2917.0931230640076
53,330.63099529366025
54,13271.58508413695
55,9807.006602697911
56,8207.37859480693
57,3404.274189781823
58,1208.7236303887453
59,5087.644244287243
60,8033.452162407531
61,1207.8578679274196
62,5233.891323968988
63,8871.343517916617
64,1228.1188906684663
65,1900.111035320015
66,565.9084442416602
67,10147.251421110886
68,170.50966814009053
69,18086.931563978527
70,9040.514434789391
71,393.62025905632663
72,5665.604912995763
73,19663.7622744564
74,4420.566050569923
75,15027.144995504132
76,3230.479610463326
77,419.0617503473066
78,370.2155008517776
79,2921.8757786525057
80,3412.6700085644334
81,2015.6636290205438
82,3989.643567566057
83,458.28921756496527
84,1269.537745353327
85,1619.2826546758965
86,6748.02452923126
87,3302.6909100729
88,2692.5433253456386
89,41361.39072629255
90,2957.298715033566
91,204.71904186424675
92,2067.0686519873843
93,16849.456028719287
94,6801.087239243478
95,5432.10900831527
96,2357.1953609668694
97,1234.7536422512085
98,408.99593797466673
99,20051.211101635316
100,21695.4532371569
101,8005.276359913855
102,1777.6065809959875
103,10194.432181448687
104,5551.193871394439
105,3356.3764158958247
106,8730.785986693689
107,1869.9412643713608
